"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2712","1.0","705","[""ID""]","22","""0/999""","","[""Karen E. Marsalek""]","""0/999""","200","","999","""Theater in London""","258","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2713","1.0","1923","[""ID""]","6","""0/999""","","[""Rosemary A. Pfarr-Baker""]","""0/999""","200","","999","""Dimens Multicult/ACM""","260","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2714","1.0","1926","[""ID""]","1","""0/999""","","[""Kristina MacPherson""]","""0/999""","200","","999","""Dev & Comm /HECUA""","263","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2715","1.0","735","[""MATH""]","10","""0/999""","","[""Martha Wallace""]","""1/999""","200","[""SC 188"", ""SC 188"", ""SC 188""]","35","""Principles of Math""","210","false","","2","""5/999""","""5/999""","""C""","20012","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2001"
"2716","1.0","742","[""MATH""]","13","""0/999""","","[""Clifton Corzatt""]","""0/999""","200","","30","""Struct of Higher Math""","234","false","","2","""2/999""","""0/999""","""C""","20012","","""Research""","2001"
"2717","1.0","744","[""MATH""]","11","""1/999""","","[""Kay E. Smith""]","""0/999""","200","[""SC 182"", ""SC 182""]","25","""Number Theory""","238","false","","2","""0/999""","""12/999""","""O""","20012","[""M-F 1045-1145"", ""M-F 1245-0215PM""]","""Research""","2001"
"2718","1.0","1951","[""MATH""]","14","""0/999""","","[""Steven McKelvey""]","""0/999""","200","","999","""Math Modeling/Biosph""","290","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2719","1.0","758","[""MATH""]","22","""0/999""","","[""Judith Cederberg""]","""5/999""","300","[""SC 184"", ""SC 184"", ""SC 184""]","20","""Geometry""","356","false","","2","""14/999""","""1/999""","""C""","20012","[""M-F 0830-1000"", ""M-F 1030-1200PM"", ""M-F 0100-0300PM""]","""Research""","2001"
"2720","1.0","765","[""MATH""]","13","""0/999""","","[""Julie M. Legler"", ""Matthew Richey""]","""6/999""","300","[""SC 130"", ""SC 130""]","999","""Mathematics Practicum""","390","false","","2","""7/999""","""0/999""","""O""","20012","[""M-F 0800-1000"", ""M-F 1040-1240PM""]","""Research""","2001"
"2721","1.0","769","[""MGMT""]","24","""0/999""","","[""Kathy C. Thomforde""]","""8/999""","200","[""H 413""]","25","""Arts Management""","229","false","","2","""9/999""","""8/999""","""C""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2722","1.0","770","[""MGMT""]","22","""0/999""","","[""Richard Goedde""]","""6/999""","200","[""H 301"", ""H 205""]","20","""Computer Applications""","230","false","","2","""15/999""","""0/999""","""C""","20012","[""MWF 1040-1140"", ""MWF 0100-0300PM""]","""Research""","2001"
"2723","1.0","772","[""MGMT""]","25","""3/5""","","[""John O. Hanson""]","""5/999""","200","[""CH 110"", ""CH 110""]","25","""Technol & Entr Spirit""","232","false","","2","""9/999""","""7/999""","""C""","20012","[""M-F 0900-1000"", ""M-F 1040-1140""]","""Research""","2001"
"2724","1.0","784","[""MGMT""]","3","""0/999""","","[""Mary Ann Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2725","1.0","788","[""MGMT""]","1","""0/999""","","[""Richard Goedde""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2726","1.0","789","[""MGMT""]","1","""0/999""","","[""Richard Goedde""]","""0/999""","300","","999","""IR/Equity Analysis""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
