"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"114514","1.0","18801","[""BIO""]","","","","","[""Steven Freedberg""]","300","","""Research:""","396","false","""A""","3","""C""","20173","","""Directed Undergraduate Research""","""Research""","2017"
"114515","1.0","19412","[""PHYS""]","","","","","[""Brian Borovsky""]","300","","""Research:""","396","false","""A""","3","""O""","20173","[""Th 1245-0345PM""]","""Directed Undergraduate Research""","""Research""","2017"
"114516","1.0","18801","[""BIO""]","","","","","[""Lisa M. Bowers""]","300","","""Research:""","396","false","""B""","3","""C""","20173","","""Directed Undergraduate Research""","""Research""","2017"
"114517","1.0","19357","[""ESTH""]","[""WRI""]","","","","[""Cynthia Book""]","300","[""TBA""]","""Top: Research in Exercise Sci""","396","false","","3","""O""","20173","[""M 0700-1000PM""]","""Directed Undergraduate Research""","""Topic""","2017"
"114518","1.0","1158","[""PSYCH""]","[""WRI""]","1158","""1""","","[""Jessica R. Petok""]","200","[""RNS 131"", ""TBA""]","""Research Methods""","230","false","""A""","3","""O""","20173","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research Methods in Psychology""","""Research""","2017"
"114519","1.0","1158","[""PSYCH""]","[""WRI""]","1158","""2""","","[""Jessica R. Petok""]","200","[""RNS 131"", ""RNS 131""]","""Research Methods""","230","false","""B""","3","""O""","20173","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research Methods in Psychology""","""Research""","2017"
"114520","1.0","29409","[""NURS""]","[""WRI""]","","","","[""Staff"", ""Mary Kuehn""]","300","[""YTT 050A""]","""Research Methods in Nursing""","390","false","","3","""O""","20173","[""Th 0700-1000PM""]","","""Research""","2017"
"114521","0.0","26692","[""PSYCH""]","","1158","""1""","","[""Jessica R. Petok""]","200","[""RNS 123""]","""Research Methods Lab""","230","false","""A""","3","""O""","20173","[""M 1045-1245PM""]","","""Lab""","2017"
"114522","0.0","26692","[""PSYCH""]","","1158","""2""","","[""Jessica R. Petok""]","200","[""RNS 123""]","""Research Methods Lab""","230","false","""B""","3","""O""","20173","[""M 0100-0300PM""]","","""Lab""","2017"
"114525","1.0","19414","[""PSYCH""]","","","","","[""Shelly D. Dickinson""]","300","[""TBA"", ""TBA"", ""TBA""]","""Research:""","396","false","""A""","3","""O""","20173","[""T 0120-0245PM"", ""W 1045-0145PM"", ""Th 0215-0335PM""]","""Directed Undergraduate Research""","""Research""","2017"
"114526","0.25","998","[""ESAC""]","[""SPM""]","","","","[""Judith Tegtmeyer""]","100","[""Tostrud Ctr""]","""Rock Climbing""","106","false","""A""","3","""O""","20173","[""MW 1045-1140""]","","""Research""","2017"
"114527","0.25","998","[""ESAC""]","[""SPM""]","","","","[""Judith Tegtmeyer""]","100","[""Tostrud Ctr""]","""Rock Climbing""","106","false","""B""","3","""O""","20173","[""TTh 0935-1030""]","","""Research""","2017"
"114540","1.0","1381","[""THEAT""]","[""ALS-A""]","","","","[""Todd F. Edwards""]","200","[""TB Green Rm""]","""Scenery & Costume Design""","240","false","","3","""O""","20173","[""MWF 1150-1245PM""]","""Scenery and Costume Design and Production""","""Research""","2017"
"114541","1.0","978","[""PHIL""]","[""EIN"", ""WRI""]","","","","[""Jason Marsh""]","200","[""OM 140""]","""Science, Ethics, and Religion""","251","false","""A""","3","""O""","20173","[""MWF 0800-0855""]","""Asian Philosophy""","""Research""","2017"
"114542","1.0","978","[""PHIL""]","[""EIN"", ""WRI""]","","","","[""Jason Marsh""]","200","[""OM 140""]","""Science, Ethics, and Religion""","251","false","""B""","3","""O""","20173","[""MWF 0905-1000""]","""Asian Philosophy""","""Research""","2017"
"114543","1.0","36","[""ART""]","","","","","[""John Saurer""]","200","[""CAD 106""]","""Sculpture/Direct Metal""","224","false","","3","""O""","20173","[""T 1145-0245PM"", ""Th 1245-0345PM""]","","""Research""","2017"
