"","clbid","credits","crsid","departments","gereqs","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"367",7969,1,522,"['GERM']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20041,"","Research",2004,0
"368",7970,1,523,"['GERM']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",1,"O",20041,"","Research",2004,0
"369",7971,1,526,"['GERM']","",NA,"['Monika Albrecht']",300,"['OM 011']","Top: Exoticism/Racism","",372,"False","False","",1,"O",20041,"['MWF 1255-0150PM']","Topic",2004,6
"370",7972,1,529,"['GERM']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20041,"","Research",2004,0
"371",7973,1,530,"['GERM']","",NA,"['Lavern Rippley']",300,"","IR/German Americana","",398,"False","False","",1,"O",20041,"","Research",2004,1
"372",7974,1,530,"['GERM']","",NA,"['Staff']",300,"","IR/","",398,"False","False","A",1,"O",20041,"","Research",2004,0
"373",7975,1,530,"['GERM']","",NA,"['Staff']",300,"","IR/","",398,"False","False","B",1,"O",20041,"","Research",2004,0
"374",7976,1,531,"['GCON']","",NA,"['Jolene Barjasteh']",100,"['STEENSLAND']","Greeks and Hebrews","",113,"False","False","A",1,"C",20041,"['MWF 1045-1140']","Research",2004,23
"375",7977,1,531,"['GCON']","",NA,"['Diana Postlethwaite']",100,"['STEENSLAND']","Greeks and Hebrews","",113,"False","False","B",1,"C",20041,"['MWF 1045-1140']","Research",2004,23
"376",7978,1,531,"['GCON']","",NA,"['Edmund Santurri']",100,"['STEENSLAND']","Greeks and Hebrews","",113,"False","False","C",1,"C",20041,"['MWF 1045-1140']","Research",2004,23
"377",7979,1,531,"['GCON']","",NA,"['J. L. Carrington']",100,"['HH 514']","Greeks and Hebrews","",113,"False","False","D",1,"C",20041,"['MWF 1045-1140']","Research",2004,22
"378",7980,1,534,"['GCON']","",NA,"['Rebecca Judge']",200,"['HH 302']","New Forces of Secular","",217,"False","False","A",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,19
"379",7981,1,534,"['GCON']","",NA,"['Colin Wells']",200,"['STEENSLAND']","New Forces of Secular","",217,"False","False","B",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,20
"380",7982,1,534,"['GCON']","",NA,"['Charles Wilson']",200,"['STEENSLAND']","New Forces of Secular","",217,"False","False","C",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,19
"381",7983,1,534,"['GCON']","",NA,"['Norman M. Watt']",200,"['RML 515']","New Forces of Secular","",217,"False","False","D",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,20
"382",7984,1,539,"['GREEK']","",NA,"['Tarik Wareh']",100,"['OM 030']","Beginning Greek I","",111,"False","False","A",1,"C",20041,"['MWF 0800-0855']","Research",2004,20
"383",7985,1,539,"['GREEK']","",NA,"['Christopher M. Brunelle']",100,"['OM 030']","Beginning Greek I","",111,"False","False","B",1,"C",20041,"['MWF 1045-1140']","Research",2004,15
"384",7986,1,541,"['GREEK']","",NA,"['Steve T. Reece']",200,"['SH 03']","Intermediate Greek","",231,"False","False","",1,"O",20041,"['MWF 1255-0150PM']","Research",2004,14
"385",7987,1,543,"['GREEK']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20041,"","Research",2004,0
"386",7988,1,544,"['GREEK']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",1,"O",20041,"","Research",2004,0
"387",7989,1,548,"['GREEK']","",NA,"['Anne Groton']",300,"['OM 003', 'OM 003']","Greek Drama","",374,"False","False","",1,"O",20041,"['T 0935-1100', 'Th 0930-1050']","Research",2004,5
"388",7990,1,550,"['GREEK']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20041,"","Research",2004,0
"389",7991,1,551,"['GREEK']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",1,"O",20041,"","Research",2004,0
"390",7992,1,552,"['HIST']","",NA,"['Timothy R. Howe']",100,"['HH 301']","Ancient Warfare","",101,"False","False","",1,"C",20041,"['MWF 1255-0150PM']","Research",2004,18
"391",7993,1,556,"['HIST']","",NA,"['Robert Nichols']",100,"['HH 516', 'HH 516']","Fall/Russian Monarchy","",121,"False","False","",1,"O",20041,"['T 0800-0925', 'Th 0800-0920']","Research",2004,18
"392",7994,1,569,"['HIST']","",NA,"['Michael Fitzgerald']",100,"['HH 515']","Civil Rights Revolutn","",181,"False","False","",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,21
"393",7995,1,570,"['HIST']","",NA,"['Judy Kutulas']",100,"['HH 514']","America Since WW II","",182,"False","False","",1,"C",20041,"['MWF 0905-1000']","Research",2004,19
"394",7996,1,572,"['HIST']","",NA,"['Helena Pohlandt-McCormick']",100,"['HH 516']","Top: Histories/Exile","",189,"False","False","A",1,"O",20041,"['MWF 0905-1000']","Topic",2004,14
"395",7997,1,572,"['HIST']","",NA,"['Dennis R. Hidalgo']",100,"['OM 031', 'OM 031']","Top: Caribbean History","",189,"False","False","B",1,"C",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Topic",2004,19
"396",7998,1,573,"['HIST']","",NA,"['Timothy R. Howe']",100,"['RML 577']","Eur/Anc/Renaissance","",190,"False","False","",1,"C",20041,"['MWF 1045-1140']","Research",2004,28
"397",7999,1,577,"['HIST']","",NA,"['Steven C. Hahn']",100,"['HH 403']","America to 1865","",198,"False","False","A",1,"C",20041,"['MWF 0905-1000']","Research",2004,33
"398",8000,1,577,"['HIST']","",NA,"['Steven C. Hahn']",100,"['HH 403']","America to 1865","",198,"False","False","B",1,"C",20041,"['MWF 1045-1140']","Research",2004,32
"399",8001,1,581,"['HIST']","",NA,"['Timothy R. Howe']",200,"['OM 031', 'OM 031']","Ancient: Greece","",203,"False","False","",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,29
"400",8002,1,589,"['HIST']","",NA,"['J. L. Carrington']",200,"['HH 307']","Reformation Europe","",218,"False","False","",1,"O",20041,"['MWF 1255-0150PM']","Research",2004,25
"401",8003,1,591,"['HIST']","",NA,"['Todd W. Nichol']",200,"['HH 317', 'HH 317']","Modern Scandinavia","",222,"False","False","",1,"O",20041,"['T 0935-1100', 'Th 0930-1050']","Research",2004,22
"403",8005,1,593,"['HIST']","",NA,"['Dolores Peters']",200,"['HH 403']","Modern France","",226,"False","False","",1,"O",20041,"['MWF 1150-1245PM']","Research",2004,22
"405",8007,1,595,"['HIST']","",NA,"['Robert Nichols']",200,"['HH 307']","Imperial Russia","",230,"False","False","",1,"O",20041,"['MWF 0200-0255PM']","Research",2004,23
"407",8009,1,608,"['HIST']","",NA,"['Robert Entenmann']",200,"['HH 317']","Chinese Civilization","",250,"False","False","",1,"O",20041,"['MWF 0905-1000']","Research",2004,34
"409",8011,1,611,"['HIST']","",NA,"['Robert Entenmann']",200,"['HH 301', 'HH 301']","Modern Japan","",253,"False","False","",1,"O",20041,"['T 0800-0925', 'Th 0800-0920']","Research",2004,15
"410",8012,1,612,"['HIST']","",NA,"['Helena Pohlandt-McCormick']",200,"['HH 307']","South Africa","",260,"False","False","",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,33
